Date,Open,High,Low,Close,Adj Close,Volume
2009-04-06,12.865275,13.462998,12.846300,13.007590,7.743979,62792893
2009-04-07,12.922201,13.007590,12.770398,12.817837,7.631013,52777680
2009-04-08,12.846300,13.007590,12.675522,12.789374,7.614066,44234799
2009-04-09,12.922201,13.017078,12.666034,12.855787,7.653605,57995612
2009-04-13,12.836812,13.017078,12.732448,12.789374,7.614066,44054249
2009-04-14,12.827324,12.846300,12.533207,12.656546,7.534985,61154450
2009-04-15,12.656546,13.225806,12.637571,13.149905,7.828704,62144894
2009-04-16,13.216319,13.273245,12.865275,13.187856,7.851297,54979064
2009-04-17,13.292220,13.538899,13.187856,13.434535,7.998158,76662058
2009-04-20,13.254269,13.301708,12.865275,12.893738,7.676198,55148442
2009-04-21,12.893738,12.941176,12.428843,12.827324,7.636660,69867974
2009-04-22,12.741935,12.751423,12.371917,12.371917,7.365535,76129366
2009-04-23,12.438330,12.628083,12.096774,12.599620,7.501098,90772272
2009-04-24,12.628083,12.694497,12.324478,12.495256,7.438965,69161477
2009-04-27,12.675522,12.865275,12.533207,12.798861,7.619713,59992204
2009-04-28,12.941176,12.950664,12.466793,12.703985,7.563231,71527497
2009-04-29,12.666034,12.903226,12.476281,12.741935,7.585823,82400455
2009-04-30,12.884250,13.017078,12.599620,12.675522,7.546286,68159545
2009-05-01,12.703985,12.884250,12.571157,12.884250,7.670548,59425258
2009-05-04,12.998102,13.273245,12.922201,13.263757,7.896487,65592106
2009-05-05,13.273245,13.624288,13.216319,13.548387,8.065937,67748696
2009-05-06,13.444023,13.519924,13.055028,13.197343,7.945979,63925838
2009-05-07,13.301708,13.690702,13.140417,13.434535,8.088789,78979698
2009-05-08,13.595825,13.766603,13.519924,13.662239,8.225884,59609602
2009-05-11,13.377609,13.681214,13.377609,13.425047,8.083076,55851038
2009-05-12,13.510436,14.430740,13.472486,14.165085,8.528645,122986833
2009-05-13,14.316888,14.800759,14.212524,14.487666,8.722870,103565091
2009-05-14,14.478178,14.705882,14.411765,14.554080,8.762856,51456385
2009-05-15,14.402277,14.506641,14.127135,14.240987,8.574347,53507469
2009-05-18,14.250474,14.449715,14.212524,14.411765,8.677168,42393988
2009-05-19,14.411765,14.506641,14.250474,14.326376,8.625755,35973020
2009-05-20,14.373814,14.544592,14.250474,14.335863,8.631464,37962867
2009-05-21,14.259962,14.411765,13.927894,14.070209,8.471520,51984123
2009-05-22,14.079696,14.316888,13.918406,14.193548,8.545782,35592104
2009-05-26,14.136622,14.402277,13.975332,14.250474,8.580057,52485195
2009-05-27,14.231499,14.278937,13.842505,13.908918,8.374411,37303168
2009-05-28,14.003795,14.098672,13.823529,13.937381,8.391544,44928858
2009-05-29,14.041746,14.421252,13.899431,14.411765,8.677168,72711455
2009-06-01,14.573055,14.658444,13.946869,14.003795,8.431534,74311638
2009-06-02,14.212524,14.326376,14.060721,14.212524,8.557208,52854200
2009-06-03,14.089184,14.155598,13.899431,14.127135,8.505796,54830766
2009-06-04,14.174573,14.174573,13.851992,13.889943,8.362986,42659596
2009-06-05,14.032258,14.070209,13.605313,13.766603,8.288725,51824969
2009-06-08,13.662239,13.747628,13.396584,13.576850,8.174473,50531922
2009-06-09,13.633776,13.690702,13.377609,13.406072,8.071649,44863088
2009-06-10,13.406072,13.586338,13.225806,13.330171,8.025950,49787798
2009-06-11,13.368121,14.060721,13.330171,13.880455,8.357276,74240598
2009-06-12,13.823529,14.297913,13.766603,14.003795,8.431534,78240001
2009-06-15,13.946869,13.946869,13.301708,13.406072,8.071649,62158807
2009-06-16,13.481973,13.719165,13.387097,13.434535,8.088789,48148406
2009-06-17,13.500949,13.946869,13.481973,13.833017,8.328716,57971476
2009-06-18,13.889943,14.402277,13.833017,14.155598,8.522932,70514076
2009-06-19,14.373814,14.535104,14.203036,14.231499,8.568631,89162498
2009-06-22,14.127135,14.278937,13.927894,14.032258,8.448672,61628434
2009-06-23,13.918406,14.051233,13.851992,13.975332,8.414396,50938028
2009-06-24,14.051233,14.193548,13.870968,13.965844,8.408682,40295474
2009-06-25,13.889943,14.573055,13.851992,14.544592,8.757141,54258550
2009-06-26,14.449715,14.582543,14.212524,14.411765,8.677168,45655064
2009-06-29,14.468691,14.582543,14.203036,14.478178,8.717155,33731584
2009-06-30,14.487666,14.497154,14.013283,14.231499,8.568631,54978959
2009-07-01,14.203036,14.269450,13.975332,14.136622,8.511509,49338689
2009-07-02,14.013283,14.041746,13.700190,13.738140,8.271587,43525562
2009-07-06,13.662239,13.861480,13.538899,13.823529,8.322999,57897906
2009-07-07,13.804554,14.079696,13.709677,13.842505,8.334422,64206834
2009-07-08,13.984820,14.041746,13.757116,13.861480,8.345847,53358855
2009-07-09,13.870968,13.927894,13.491461,13.557875,8.163052,64678499
2009-07-10,13.500949,13.557875,13.387097,13.472486,8.111638,41038966
2009-07-13,13.481973,14.013283,13.472486,14.003795,8.431534,55898468
2009-07-14,13.908918,14.174573,13.870968,14.136622,8.511509,39340972
2009-07-15,14.203036,14.278937,13.937381,14.250474,8.580057,45903703
2009-07-16,14.203036,14.326376,14.117647,14.297913,8.608618,39159578
2009-07-17,14.307400,14.345351,14.098672,14.193548,8.545782,56106317
2009-07-20,14.259962,14.506641,13.994307,14.478178,8.717155,58193343
2009-07-21,14.629981,14.971537,14.573055,14.895636,8.968502,58406988
2009-07-22,14.867173,15.626186,14.800759,15.056926,9.065610,88129683
2009-07-23,15.227704,15.559772,15.094877,15.322581,9.225562,61858206
2009-07-24,15.227704,15.654649,15.208729,15.635674,9.414069,53749468
2009-07-27,15.588235,15.796964,15.388994,15.768501,9.494045,50004184
2009-07-28,15.645161,15.806452,15.142315,15.208729,9.157011,79445882
2009-07-29,15.180266,15.256167,14.838710,14.943074,8.997063,64191867
2009-07-30,15.142315,15.426945,15.075901,15.123340,9.105597,51094020
2009-07-31,15.284630,15.351044,15.085389,15.113852,9.099886,45270143
2009-08-03,15.294118,15.322581,14.990512,15.218216,9.162724,53243653
2009-08-04,15.132827,15.351044,15.094877,15.246679,9.179863,51641152
2009-08-05,15.161290,15.180266,14.848197,15.056926,9.156780,61881605
2009-08-06,15.066414,15.094877,14.895636,14.981025,9.110623,40157716
2009-08-07,15.094877,15.341556,15.066414,15.142315,9.208709,41950359
2009-08-10,15.037951,15.161290,15.000000,15.094877,9.179863,29649547
